scope,state,year,quarter,metric_name,metric_value
state,puducherry,2018,1,registeredUsers,49318
state,puducherry,2018,1,appOpens,0
state,tamil nadu,2018,1,registeredUsers,2104754
state,tamil nadu,2018,1,appOpens,0
state,uttar pradesh,2018,1,registeredUsers,4694250
state,uttar pradesh,2018,1,appOpens,0
state,madhya pradesh,2018,1,registeredUsers,2553603
state,madhya pradesh,2018,1,appOpens,0
state,andhra pradesh,2018,1,registeredUsers,3336450
state,andhra pradesh,2018,1,appOpens,0
state,tripura,2018,1,registeredUsers,55157
state,tripura,2018,1,appOpens,0
state,lakshadweep,2018,1,registeredUsers,501
state,lakshadweep,2018,1,appOpens,0
state,manipur,2018,1,registeredUsers,29925
state,manipur,2018,1,appOpens,0
state,maharashtra,2018,1,registeredUsers,6106994
state,maharashtra,2018,1,appOpens,0
state,dadra & nagar haveli & daman & diu,2018,1,registeredUsers,53258
state,dadra & nagar haveli & daman & diu,2018,1,appOpens,0
state,meghalaya,2018,1,registeredUsers,18513
state,meghalaya,2018,1,appOpens,0
state,andaman & nicobar islands,2018,1,registeredUsers,6740
state,andaman & nicobar islands,2018,1,appOpens,0
state,haryana,2018,1,registeredUsers,1847357
state,haryana,2018,1,appOpens,0
state,rajasthan,2018,1,registeredUsers,3158202
state,rajasthan,2018,1,appOpens,0
state,ladakh,2018,1,registeredUsers,8784
state,ladakh,2018,1,appOpens,0
state,punjab,2018,1,registeredUsers,847142
state,punjab,2018,1,appOpens,0
state,assam,2018,1,registeredUsers,385237
state,assam,2018,1,appOpens,0
state,jharkhand,2018,1,registeredUsers,885762
state,jharkhand,2018,1,appOpens,0
state,odisha,2018,1,registeredUsers,1594015
state,odisha,2018,1,appOpens,0
state,bihar,2018,1,registeredUsers,2133804
state,bihar,2018,1,appOpens,0
state,kerala,2018,1,registeredUsers,784184
state,kerala,2018,1,appOpens,0
state,karnataka,2018,1,registeredUsers,3717763
state,karnataka,2018,1,appOpens,0
state,chandigarh,2018,1,registeredUsers,86268
state,chandigarh,2018,1,appOpens,0
state,telangana,2018,1,registeredUsers,3315560
state,telangana,2018,1,appOpens,0
state,himachal pradesh,2018,1,registeredUsers,227373
state,himachal pradesh,2018,1,appOpens,0
state,west bengal,2018,1,registeredUsers,2604789
state,west bengal,2018,1,appOpens,0
state,gujarat,2018,1,registeredUsers,2690048
state,gujarat,2018,1,appOpens,0
state,sikkim,2018,1,registeredUsers,20051
state,sikkim,2018,1,appOpens,0
state,nagaland,2018,1,registeredUsers,15074
state,nagaland,2018,1,appOpens,0
state,mizoram,2018,1,registeredUsers,7593
state,mizoram,2018,1,appOpens,0
state,chhattisgarh,2018,1,registeredUsers,679263
state,chhattisgarh,2018,1,appOpens,0
state,jammu & kashmir,2018,1,registeredUsers,176425
state,jammu & kashmir,2018,1,appOpens,0
state,goa,2018,1,registeredUsers,91936
state,goa,2018,1,appOpens,0
state,arunachal pradesh,2018,1,registeredUsers,21495
state,arunachal pradesh,2018,1,appOpens,0
state,delhi,2018,1,registeredUsers,2087022
state,delhi,2018,1,appOpens,0
state,uttarakhand,2018,1,registeredUsers,483043
state,uttarakhand,2018,1,appOpens,0
state,puducherry,2018,2,registeredUsers,65580
state,puducherry,2018,2,appOpens,0
state,tamil nadu,2018,2,registeredUsers,2996036
state,tamil nadu,2018,2,appOpens,0
state,uttar pradesh,2018,2,registeredUsers,6442554
state,uttar pradesh,2018,2,appOpens,0
state,madhya pradesh,2018,2,registeredUsers,3441662
state,madhya pradesh,2018,2,appOpens,0
state,andhra pradesh,2018,2,registeredUsers,4402540
state,andhra pradesh,2018,2,appOpens,0
state,tripura,2018,2,registeredUsers,83369
state,tripura,2018,2,appOpens,0
state,lakshadweep,2018,2,registeredUsers,686
state,lakshadweep,2018,2,appOpens,0
state,manipur,2018,2,registeredUsers,46055
state,manipur,2018,2,appOpens,0
state,maharashtra,2018,2,registeredUsers,8222371
state,maharashtra,2018,2,appOpens,0
state,dadra & nagar haveli & daman & diu,2018,2,registeredUsers,71458
state,dadra & nagar haveli & daman & diu,2018,2,appOpens,0
state,meghalaya,2018,2,registeredUsers,26618
state,meghalaya,2018,2,appOpens,0
state,andaman & nicobar islands,2018,2,registeredUsers,9405
state,andaman & nicobar islands,2018,2,appOpens,0
state,haryana,2018,2,registeredUsers,2447221
state,haryana,2018,2,appOpens,0
state,rajasthan,2018,2,registeredUsers,4212964
state,rajasthan,2018,2,appOpens,0
state,ladakh,2018,2,registeredUsers,12918
state,ladakh,2018,2,appOpens,0
state,punjab,2018,2,registeredUsers,1152190
state,punjab,2018,2,appOpens,0
state,assam,2018,2,registeredUsers,571046
state,assam,2018,2,appOpens,0
state,jharkhand,2018,2,registeredUsers,1230599
state,jharkhand,2018,2,appOpens,0
state,odisha,2018,2,registeredUsers,2185781
state,odisha,2018,2,appOpens,0
state,bihar,2018,2,registeredUsers,3005872
state,bihar,2018,2,appOpens,0
state,kerala,2018,2,registeredUsers,1066587
state,kerala,2018,2,appOpens,0
state,karnataka,2018,2,registeredUsers,5030665
state,karnataka,2018,2,appOpens,0
state,chandigarh,2018,2,registeredUsers,115219
state,chandigarh,2018,2,appOpens,0
state,telangana,2018,2,registeredUsers,4260115
state,telangana,2018,2,appOpens,0
state,himachal pradesh,2018,2,registeredUsers,315299
state,himachal pradesh,2018,2,appOpens,0
state,west bengal,2018,2,registeredUsers,3833795
state,west bengal,2018,2,appOpens,0
state,gujarat,2018,2,registeredUsers,3565825
state,gujarat,2018,2,appOpens,0
