year,quarter,state,category,total_count,total_amount
2018,1,andaman-&-nicobar-islands,Financial Services,99.0,31804.25980039486
2018,1,andaman-&-nicobar-islands,Merchant payments,894.0,1357521.505939839
2018,1,andaman-&-nicobar-islands,Others,768.0,554069.5988706669
2018,1,andaman-&-nicobar-islands,Peer-to-peer payments,5613.0,36415965.89924994
2018,1,andaman-&-nicobar-islands,Recharge & bill payments,12600.0,5535922.402096528
2018,1,andhra-pradesh,Financial Services,612915.0,134425349.2918632
2018,1,andhra-pradesh,Merchant payments,1088016.0,741892920.7200205
2018,1,andhra-pradesh,Others,1186542.0,862878128.9121149
2018,1,andhra-pradesh,Peer-to-peer payments,9148938.0,31572750849.536346
2018,1,andhra-pradesh,Recharge & bill payments,15082344.0,2676881927.0095687
2018,1,arunachal-pradesh,Financial Services,1248.0,176681.28604599263
2018,1,arunachal-pradesh,Merchant payments,3126.0,7261122.571756726
2018,1,arunachal-pradesh,Others,5970.0,5502758.453072663
2018,1,arunachal-pradesh,Peer-to-peer payments,39960.0,248669048.17254916
2018,1,arunachal-pradesh,Recharge & bill payments,86187.0,15552397.544803012
2018,1,assam,Financial Services,54516.0,14810586.602065686
2018,1,assam,Merchant payments,121446.0,103504868.67800264
2018,1,assam,Others,144330.0,94048781.99004792
2018,1,assam,Peer-to-peer payments,954075.0,2980575587.9455967
2018,1,assam,Recharge & bill payments,1896276.0,280473543.42169136
2018,1,bihar,Financial Services,582885.0,101998241.63219856
2018,1,bihar,Merchant payments,416655.0,419483267.2096504
2018,1,bihar,Others,837333.0,603075102.5388055
2018,1,bihar,Peer-to-peer payments,6156267.0,15886040284.352491
2018,1,bihar,Recharge & bill payments,9479766.0,1126677620.3182778
2018,1,chandigarh,Financial Services,25419.0,5596854.749849517
2018,1,chandigarh,Merchant payments,64293.0,58431199.59983015
2018,1,chandigarh,Others,46779.0,49842916.74357963
2018,1,chandigarh,Peer-to-peer payments,405408.0,1583996548.021678
2018,1,chandigarh,Recharge & bill payments,603786.0,142438743.4879325
2018,1,chhattisgarh,Financial Services,99006.0,22051872.823384546
2018,1,chhattisgarh,Merchant payments,127233.0,119125422.47607166
2018,1,chhattisgarh,Others,263358.0,172018379.48130625
2018,1,chhattisgarh,Peer-to-peer payments,1652091.0,5514715008.49909
2018,1,chhattisgarh,Recharge & bill payments,3532854.0,619555988.4304441
2018,1,dadra-&-nagar-haveli-&-daman-&-diu,Financial Services,4092.0,1059514.6571444739
2018,1,dadra-&-nagar-haveli-&-daman-&-diu,Merchant payments,4593.0,4742288.339217216
2018,1,dadra-&-nagar-haveli-&-daman-&-diu,Others,16533.0,12693440.85170475
2018,1,dadra-&-nagar-haveli-&-daman-&-diu,Peer-to-peer payments,133797.0,455900799.7382219
2018,1,dadra-&-nagar-haveli-&-daman-&-diu,Recharge & bill payments,286632.0,52579108.7413623
2018,1,delhi,Financial Services,408720.0,136765287.8147272
2018,1,delhi,Merchant payments,1019427.0,1126179345.5739398
2018,1,delhi,Others,955764.0,1032832544.3769078
2018,1,delhi,Peer-to-peer payments,7142460.0,27377055404.683075
2018,1,delhi,Recharge & bill payments,11841891.0,3961678838.311236
2018,1,goa,Financial Services,3573.0,1560316.927201266
2018,1,goa,Merchant payments,23640.0,33108095.20697389
2018,1,goa,Others,18552.0,17555228.197160922
2018,1,goa,Peer-to-peer payments,178953.0,804525144.2097893
2018,1,goa,Recharge & bill payments,257973.0,54821442.488126166
2018,1,gujarat,Financial Services,366351.0,83960037.02913949
2018,1,gujarat,Merchant payments,436308.0,498110002.712674
2018,1,gujarat,Others,750888.0,558495202.7211654
2018,1,gujarat,Peer-to-peer payments,5216922.0,18956594279.6642
2018,1,gujarat,Recharge & bill payments,11075856.0,2636787242.974969
2018,1,haryana,Financial Services,385908.0,82503204.04237895
2018,1,haryana,Merchant payments,503448.0,520540786.0612674
2018,1,haryana,Others,627369.0,726331756.5792112
2018,1,haryana,Peer-to-peer payments,4821579.0,17444422532.05998
2018,1,haryana,Recharge & bill payments,7104006.0,1606736265.2383535
2018,1,himachal-pradesh,Financial Services,26865.0,6121568.174313834
2018,1,himachal-pradesh,Merchant payments,39723.0,41553692.50485735
2018,1,himachal-pradesh,Others,62337.0,50258548.509028606
2018,1,himachal-pradesh,Peer-to-peer payments,463716.0,1638666082.4505908
