brand,total_users,total_opens
Xiaomi,1739128584.0,184832815977.0
Samsung,1343209247.0,184832815977.0
Vivo,1250832199.0,184832815977.0
Oppo,840501764.0,184832815977.0
Realme,439947632.0,184832815977.0
Others,579023847.0,184832815977.0
Motorola,148071902.0,180946180766.0
Huawei,116796562.0,180841457068.0
Apple,195725299.0,177092057886.0
OnePlus,134707101.0,170342509732.0
Lenovo,86458165.0,121637397861.0
Tecno,20738129.0,62715327550.0
Micromax,11132859.0,9734937478.0
Infinix,5142870.0,9494116101.0
Gionee,3082772.0,4182563578.0
Asus,4295498.0,3965320634.0
Lava,1530109.0,2306042775.0
HMD Global,336632.0,906168456.0
COOLPAD,10.0,0.0
Lyf,1271.0,0.0
