state,year,total_transactions,total_value
maharashtra,2020,156296.0,53223687.0
karnataka,2020,112806.0,44016512.0
andhra pradesh,2020,93380.0,29394504.0
telangana,2020,74359.0,23165095.0
uttar pradesh,2020,45485.0,20529652.0
west bengal,2020,30448.0,11821701.0
gujarat,2020,30212.0,10821440.0
rajasthan,2020,27744.0,10230100.0
madhya pradesh,2020,31412.0,9591951.0
tamil nadu,2020,10290.0,8993575.0
odisha,2020,10955.0,2640191.0
delhi,2020,11716.0,1897480.0
haryana,2020,6321.0,1179814.0
maharashtra,2021,260864.0,214476390.0
karnataka,2021,200468.0,208485985.0
uttar pradesh,2021,126986.0,135461213.0
telangana,2021,119096.0,95517307.0
tamil nadu,2021,88232.0,93212401.0
andhra pradesh,2021,103808.0,87005234.0
west bengal,2021,81847.0,76275279.0
delhi,2021,63752.0,61240671.0
bihar,2021,40486.0,45548754.0
rajasthan,2021,52724.0,35225532.0
haryana,2021,19489.0,25885838.0
madhya pradesh,2021,29230.0,15355318.0
gujarat,2021,14676.0,10263998.0
karnataka,2022,433269.0,583631283.0
maharashtra,2022,385808.0,510766718.0
uttar pradesh,2022,242665.0,354909247.0
tamil nadu,2022,284182.0,353009475.0
kerala,2022,192927.0,313466314.0
telangana,2022,198045.0,263341225.0
west bengal,2022,174451.0,222456288.0
andhra pradesh,2022,145769.0,191191399.0
delhi,2022,139462.0,169402683.0
haryana,2022,58129.0,77929743.0
rajasthan,2022,40926.0,60792838.0
gujarat,2022,25381.0,32090965.0
karnataka,2023,540383.0,809752288.0
maharashtra,2023,456768.0,692728643.0
uttar pradesh,2023,318339.0,536625998.0
tamil nadu,2023,366328.0,476097802.0
kerala,2023,263011.0,434334060.0
telangana,2023,235142.0,351920162.0
west bengal,2023,237468.0,319390886.0
delhi,2023,190628.0,252202047.0
haryana,2023,125503.0,204060419.0
rajasthan,2023,86911.0,156003101.0
andhra pradesh,2023,78070.0,109765751.0
gujarat,2023,51049.0,65768085.0
karnataka,2024,670478.0,1097268779.0
maharashtra,2024,555803.0,891933098.0
uttar pradesh,2024,405678.0,692820385.0
tamil nadu,2024,452738.0,620861075.0
kerala,2024,307033.0,499048972.0
telangana,2024,267700.0,437115726.0
rajasthan,2024,252431.0,435189853.0
west bengal,2024,315501.0,422519085.0
delhi,2024,216351.0,309808635.0
bihar,2024,163355.0,212869307.0
haryana,2024,49735.0,79198642.0
