state,year,total_transaction_value,total_transactions
maharashtra,2018,569545275839.7803,348904605.0
karnataka,2018,521900861181.5716,299777034.0
uttar-pradesh,2018,395307091692.2431,278594613.0
andhra-pradesh,2018,366216044011.5368,233337336.0
telangana,2018,353593761881.9,202623879.0
west-bengal,2018,334766146251.6809,360034905.0
tamil-nadu,2018,312058704572.5843,164850816.0
delhi,2018,287269524565.3502,192693732.0
rajasthan,2018,259305705183.108,158346624.0
madhya-pradesh,2018,247983104243.2949,171334041.0
bihar,2018,204257072487.50467,133670655.0
gujarat,2018,187314175667.1995,119285880.0
haryana,2018,179639822942.58136,95531724.0
odisha,2018,178920983692.9599,195488754.0
jharkhand,2018,77997750323.42764,59212995.0
punjab,2018,75939300162.99725,38402523.0
chhattisgarh,2018,66396137216.448654,41799354.0
kerala,2018,58079953671.692986,34573641.0
uttarakhand,2018,40707437744.691956,25076100.0
jammu-&-kashmir,2018,39767996222.74257,23289495.0
assam,2018,39622642322.03293,26420331.0
himachal-pradesh,2018,18561742526.16221,10092750.0
chandigarh,2018,14929814165.779922,7149093.0
goa,2018,7945897847.587013,3734214.0
dadra-&-nagar-haveli-&-daman-&-diu,2018,4752358104.733292,3134496.0
puducherry,2018,4484930495.459926,2198124.0
tripura,2018,4360858862.255393,3565434.0
manipur,2018,4110812098.049512,1983474.0
arunachal-pradesh,2018,3381371892.5538235,1305687.0
nagaland,2018,2583413038.3461113,1026444.0
sikkim,2018,2479696828.505207,1145067.0
meghalaya,2018,2192082804.512401,1166550.0
mizoram,2018,1307289648.5653355,420510.0
ladakh,2018,838444739.8390191,243522.0
andaman-&-nicobar-islands,2018,567228311.8161167,174063.0
lakshadweep,2018,50756000.19146088,18765.0
karnataka,2019,2373786810771.7876,1831557600.0
maharashtra,2019,2211981289658.702,1578675369.0
telangana,2019,2201629475688.809,1319906145.0
andhra-pradesh,2019,1613374123256.6746,891540762.0
uttar-pradesh,2019,1296746290461.0935,815210904.0
rajasthan,2019,1266507515489.4607,739029555.0
delhi,2019,1117191681973.419,763385136.0
tamil-nadu,2019,907686548994.208,487360128.0
madhya-pradesh,2019,896307282554.1217,599668386.0
west-bengal,2019,798043519843.427,773701770.0
bihar,2019,796924426890.4692,395960781.0
gujarat,2019,663990157640.7788,404248722.0
odisha,2019,651767801380.9419,509885613.0
haryana,2019,595206103810.1735,339141321.0
punjab,2019,255254703745.98383,120262212.0
jharkhand,2019,245590980374.58206,155955552.0
chhattisgarh,2019,229481879936.45303,137479449.0
kerala,2019,182542617167.71347,106612794.0
assam,2019,141568488724.54694,68073045.0
uttarakhand,2019,114224401204.08165,70295604.0
himachal-pradesh,2019,63301643204.91952,32768550.0
jammu-&-kashmir,2019,53177712503.06874,22463388.0
chandigarh,2019,37534032164.966034,17653212.0
goa,2019,23973054121.9815,12344823.0
puducherry,2019,16531969829.305933,8431950.0
dadra-&-nagar-haveli-&-daman-&-diu,2019,11567771365.423151,7677576.0
tripura,2019,11494482022.615835,7881075.0
arunachal-pradesh,2019,10397472584.976393,3944613.0
manipur,2019,10341413061.675447,3951558.0
sikkim,2019,9774341783.750042,5844111.0
nagaland,2019,7342506013.899061,2809140.0
meghalaya,2019,6739870575.613398,3340674.0
mizoram,2019,3340982562.354742,1107930.0
ladakh,2019,3203802945.505458,876057.0
andaman-&-nicobar-islands,2019,1420394270.8614745,399312.0
lakshadweep,2019,116850988.45506062,36828.0
telangana,2020,5685561611110.421,2794441743.0
karnataka,2020,5409852438843.707,3648459351.0
maharashtra,2020,5036451971166.75,3299000310.0
andhra-pradesh,2020,5031739741961.598,2290850097.0
rajasthan,2020,3191353792689.7075,1630756737.0
uttar-pradesh,2020,2871837699876.9536,1510991619.0
madhya-pradesh,2020,2293908349446.4985,1253819223.0
bihar,2020,1950893566213.143,799691934.0
delhi,2020,1898757098625.3762,1094465700.0
tamil-nadu,2020,1688132424227.7827,900843327.0
west-bengal,2020,1658194752867.2485,912666981.0
odisha,2020,1453369324891.019,786208986.0
haryana,2020,1296761802883.372,680780265.0
gujarat,2020,1283093206735.6355,695595984.0
jharkhand,2020,583575674337.7488,314772990.0
chhattisgarh,2020,506612096909.2205,294069273.0
punjab,2020,466672014436.44507,208519728.0
kerala,2020,447793711825.5002,261205068.0
assam,2020,331478193157.37103,141405672.0
uttarakhand,2020,258445554774.61652,142835280.0
himachal-pradesh,2020,119884435909.69951,64807242.0
jammu-&-kashmir,2020,115684283040.1297,38330934.0
chandigarh,2020,60630123163.26206,26583969.0
manipur,2020,48047181819.03513,14849667.0
goa,2020,47586371971.395386,27240723.0
puducherry,2020,38081744714.01894,20064627.0
arunachal-pradesh,2020,28166034305.156845,10643715.0
tripura,2020,26645715607.234962,14840391.0
dadra-&-nagar-haveli-&-daman-&-diu,2020,21286320117.02533,14423502.0
nagaland,2020,20445565640.39896,7439283.0
sikkim,2020,16284892781.966972,7131957.0
meghalaya,2020,15945514706.484646,7467795.0
ladakh,2020,8546650939.991761,2495355.0
mizoram,2020,7631211911.971541,2788143.0
andaman-&-nicobar-islands,2020,3889270249.0699024,1338822.0
lakshadweep,2020,245590325.65855747,97830.0
telangana,2021,13408094737912.012,6921948585.0
maharashtra,2021,12958854558218.693,8685246864.0
karnataka,2021,12304765716449.717,8218405545.0
andhra-pradesh,2021,10990993955798.875,4790404971.0
rajasthan,2021,8002923281741.072,4284342924.0
uttar-pradesh,2021,6628295664288.331,3477449982.0
madhya-pradesh,2021,5791004456021.868,3423193788.0
bihar,2021,4715964839738.944,2110002471.0
delhi,2021,4264269220016.1187,2576880705.0
west-bengal,2021,4041141366158.086,2000682111.0
tamil-nadu,2021,3963260281646.8145,2238685488.0
odisha,2021,3444880866865.728,1963718205.0
gujarat,2021,3026610124298.3506,1616555079.0
haryana,2021,2758090040642.347,1518240924.0
jharkhand,2021,1428270391671.4697,796285656.0
chhattisgarh,2021,1167431499907.1008,699243867.0
kerala,2021,1105548225943.6335,703078146.0
punjab,2021,974773898209.0009,461504796.0
assam,2021,871213215267.9277,373409301.0
uttarakhand,2021,581863836653.1665,348037194.0
jammu-&-kashmir,2021,331430359186.6415,140901174.0
himachal-pradesh,2021,234187992063.15182,131486886.0
goa,2021,140627337524.71033,82794618.0
chandigarh,2021,126610683944.38158,68808195.0
manipur,2021,114076345631.97774,42055935.0
puducherry,2021,94655311501.59758,55654065.0
arunachal-pradesh,2021,62675517671.763565,21130077.0
tripura,2021,49993677489.93184,23573235.0
dadra-&-nagar-haveli-&-daman-&-diu,2021,47985239585.20372,34010646.0
nagaland,2021,45570735241.61096,15284889.0
sikkim,2021,35486062295.88068,13565526.0
meghalaya,2021,32600695153.78368,12585492.0
ladakh,2021,20334596374.29616,5688915.0
mizoram,2021,16405183355.949074,5267319.0
andaman-&-nicobar-islands,2021,14776464241.881943,5016159.0
lakshadweep,2021,432682787.3975455,147927.0
telangana,2022,27919893429042.82,16192524525.0
maharashtra,2022,23537165049446.1,17256612720.0
karnataka,2022,21012691373651.344,14711928198.0
andhra-pradesh,2022,16751931262534.826,7759830159.0
rajasthan,2022,14610988965892.367,8577745734.0
uttar-pradesh,2022,13345161628515.973,7827630495.0
madhya-pradesh,2022,11851794686178.656,7943072142.0
bihar,2022,9279995360790.104,4796962491.0
west-bengal,2022,8077582125039.608,4016661654.0
delhi,2022,7768044703287.599,5197288989.0
tamil-nadu,2022,7231478451731.206,4436678694.0
odisha,2022,6534074837953.205,4228461498.0
gujarat,2022,5714105702329.143,3320987076.0
haryana,2022,4965249697081.239,2978096238.0
jharkhand,2022,2783163169283.5327,1697855727.0
chhattisgarh,2022,2435128384533.229,1650631119.0
assam,2022,1918602234665.793,975959067.0
kerala,2022,1891516499786.873,1361908977.0
punjab,2022,1719486823978.4512,918132606.0
uttarakhand,2022,1102288380885.3943,734124147.0
jammu-&-kashmir,2022,494043014641.6101,269728830.0
himachal-pradesh,2022,418163043957.2677,273298665.0
goa,2022,261566204428.23538,170434539.0
chandigarh,2022,242694012037.66882,152267979.0
manipur,2022,180224396037.49298,72602169.0
puducherry,2022,143576228248.41302,91805151.0
arunachal-pradesh,2022,107009332454.5923,44799360.0
tripura,2022,96680776288.35115,47233869.0
dadra-&-nagar-haveli-&-daman-&-diu,2022,86437488760.9614,72653340.0
meghalaya,2022,85631015120.06068,36033036.0
nagaland,2022,70858811811.84271,24982797.0
sikkim,2022,64799408638.44551,28564440.0
andaman-&-nicobar-islands,2022,36330770186.164825,16313637.0
ladakh,2022,36204108059.67398,12066954.0
mizoram,2022,23797566684.153465,7805118.0
lakshadweep,2022,639788753.6288167,199062.0
karnataka,2023,34425250935351.0,26538783543.0
telangana,2023,33172056135390.0,21004891593.0
maharashtra,2023,32455432895178.0,26324482977.0
andhra-pradesh,2023,30633058438101.0,16570023771.0
uttar-pradesh,2023,22778243596668.0,15405888456.0
rajasthan,2023,21359922040701.0,13743781035.0
madhya-pradesh,2023,14786377285035.0,10991133708.0
bihar,2023,14544638631345.0,8671290942.0
west-bengal,2023,12681425615961.0,7123927377.0
odisha,2023,10117173706584.0,7146086988.0
tamil-nadu,2023,9593766462708.0,6327625242.0
delhi,2023,8342941788072.0,6110249490.0
gujarat,2023,8238172898565.0,5378559141.0
haryana,2023,8137965653136.0,5685367095.0
jharkhand,2023,5120071777422.0,3667403352.0
chhattisgarh,2023,4165831491852.0,3210148746.0
assam,2023,2931379821609.0,1840137297.0
kerala,2023,2540255086368.0,1962881778.0
punjab,2023,2418165891648.0,1465773858.0
uttarakhand,2023,1554295876098.0,1219500048.0
jammu-&-kashmir,2023,934614129441.0,679758762.0
himachal-pradesh,2023,524252488959.0,403056642.0
goa,2023,465516072747.0,333559098.0
arunachal-pradesh,2023,244369403994.0,137470464.0
puducherry,2023,189234372456.0,139921275.0
tripura,2023,177829599291.0,102893706.0
dadra-&-nagar-haveli-&-daman-&-diu,2023,177056267454.0,176501403.0
chandigarh,2023,176841928368.0,143104605.0
meghalaya,2023,139347116619.0,67620429.0
nagaland,2023,102380016777.0,38481243.0
sikkim,2023,96122293050.0,52414068.0
ladakh,2023,78701053116.0,33847935.0
manipur,2023,70374157932.0,23529996.0
andaman-&-nicobar-islands,2023,62799066339.0,35334978.0
mizoram,2023,38383199499.0,15217998.0
lakshadweep,2023,1193003529.0,515022.0
karnataka,2024,45987917184750.0,37663927566.0
maharashtra,2024,44353156024407.0,38462703351.0
telangana,2024,42227037739203.0,30087717306.0
andhra-pradesh,2024,38619927798876.0,24220103073.0
uttar-pradesh,2024,33340044583197.0,26255045112.0
rajasthan,2024,30338705397081.0,22191611085.0
bihar,2024,22211374136874.0,15915501198.0
madhya-pradesh,2024,21508463135601.0,17834306889.0
west-bengal,2024,19161339402120.0,12386824263.0
odisha,2024,14411758633230.0,11925732312.0
tamil-nadu,2024,12112274194065.0,8833114416.0
gujarat,2024,11465431204140.0,8645364120.0
delhi,2024,11234086730352.0,9550986189.0
haryana,2024,11002196567952.0,8937545805.0
jharkhand,2024,7481268603570.0,6107776605.0
chhattisgarh,2024,6100535462109.0,5167559685.0
assam,2024,4148511872247.0,3361917795.0
punjab,2024,3038940797601.0,2104641768.0
kerala,2024,3003071397624.0,2472432996.0
uttarakhand,2024,2097640228683.0,1836643518.0
jammu-&-kashmir,2024,1585332037683.0,1287335622.0
himachal-pradesh,2024,684260729619.0,586920927.0
goa,2024,585848545581.0,464725320.0
arunachal-pradesh,2024,367305719052.0,261376155.0
dadra-&-nagar-haveli-&-daman-&-diu,2024,256074126189.0,295254282.0
tripura,2024,234745115697.0,162527778.0
puducherry,2024,225386665968.0,181740699.0
chandigarh,2024,219479171274.0,195998925.0
meghalaya,2024,205175408643.0,137692281.0
nagaland,2024,141894726744.0,74282433.0
sikkim,2024,131889510444.0,88917357.0
manipur,2024,131622598509.0,61078221.0
ladakh,2024,119155210125.0,62818887.0
andaman-&-nicobar-islands,2024,92219165841.0,60543882.0
mizoram,2024,47440876569.0,26000232.0
lakshadweep,2024,2149289970.0,1636548.0
