state,year,quarter,total_users,total_app_opens
maharashtra,2018,1,67176934.0,0.0
uttar-pradesh,2018,1,51636750.0,0.0
karnataka,2018,1,40895393.0,0.0
andhra-pradesh,2018,1,36700950.0,0.0
telangana,2018,1,36471160.0,0.0
rajasthan,2018,1,34740222.0,0.0
gujarat,2018,1,29590528.0,0.0
west-bengal,2018,1,28652679.0,0.0
madhya-pradesh,2018,1,28089633.0,0.0
bihar,2018,1,23471844.0,0.0
tamil-nadu,2018,1,23152294.0,0.0
delhi,2018,1,22957242.0,0.0
haryana,2018,1,20320927.0,0.0
odisha,2018,1,17534165.0,0.0
jharkhand,2018,1,9743382.0,0.0
punjab,2018,1,9318562.0,0.0
kerala,2018,1,8626024.0,0.0
chhattisgarh,2018,1,7471893.0,0.0
uttarakhand,2018,1,5313473.0,0.0
assam,2018,1,4237607.0,0.0
himachal-pradesh,2018,1,2501103.0,0.0
jammu-&-kashmir,2018,1,1940675.0,0.0
goa,2018,1,1011296.0,0.0
chandigarh,2018,1,948948.0,0.0
tripura,2018,1,606727.0,0.0
dadra-&-nagar-haveli-&-daman-&-diu,2018,1,585838.0,0.0
puducherry,2018,1,542498.0,0.0
manipur,2018,1,329175.0,0.0
arunachal-pradesh,2018,1,236445.0,0.0
sikkim,2018,1,220561.0,0.0
meghalaya,2018,1,203643.0,0.0
nagaland,2018,1,165814.0,0.0
ladakh,2018,1,96624.0,0.0
mizoram,2018,1,83523.0,0.0
andaman-&-nicobar-islands,2018,1,74140.0,0.0
lakshadweep,2018,1,5511.0,0.0
maharashtra,2018,2,90446081.0,0.0
uttar-pradesh,2018,2,70868094.0,0.0
karnataka,2018,2,55337315.0,0.0
andhra-pradesh,2018,2,48427940.0,0.0
telangana,2018,2,46861265.0,0.0
rajasthan,2018,2,46342604.0,0.0
west-bengal,2018,2,42171745.0,0.0
gujarat,2018,2,39224075.0,0.0
madhya-pradesh,2018,2,37858282.0,0.0
bihar,2018,2,33064592.0,0.0
tamil-nadu,2018,2,32956396.0,0.0
delhi,2018,2,30317551.0,0.0
haryana,2018,2,26919431.0,0.0
odisha,2018,2,24043591.0,0.0
jharkhand,2018,2,13536589.0,0.0
punjab,2018,2,12674090.0,0.0
kerala,2018,2,11732457.0,0.0
chhattisgarh,2018,2,10457425.0,0.0
uttarakhand,2018,2,7140562.0,0.0
assam,2018,2,6281506.0,0.0
himachal-pradesh,2018,2,3468289.0,0.0
jammu-&-kashmir,2018,2,2877699.0,0.0
goa,2018,2,1343914.0,0.0
chandigarh,2018,2,1267409.0,0.0
tripura,2018,2,917059.0,0.0
dadra-&-nagar-haveli-&-daman-&-diu,2018,2,786038.0,0.0
puducherry,2018,2,721380.0,0.0
manipur,2018,2,506605.0,0.0
arunachal-pradesh,2018,2,361713.0,0.0
sikkim,2018,2,309067.0,0.0
meghalaya,2018,2,292798.0,0.0
nagaland,2018,2,246796.0,0.0
ladakh,2018,2,142098.0,0.0
mizoram,2018,2,114642.0,0.0
andaman-&-nicobar-islands,2018,2,103455.0,0.0
lakshadweep,2018,2,7546.0,0.0
maharashtra,2018,3,114785363.0,0.0
uttar-pradesh,2018,3,89061313.0,0.0
karnataka,2018,3,70099139.0,0.0
andhra-pradesh,2018,3,59703787.0,0.0
rajasthan,2018,3,56929983.0,0.0
telangana,2018,3,56523511.0,0.0
west-bengal,2018,3,53369140.0,0.0
gujarat,2018,3,48765013.0,0.0
madhya-pradesh,2018,3,47402399.0,0.0
tamil-nadu,2018,3,42901947.0,0.0
bihar,2018,3,41629885.0,0.0
delhi,2018,3,38554021.0,0.0
haryana,2018,3,33224378.0,0.0
odisha,2018,3,30752898.0,0.0
jharkhand,2018,3,16855982.0,0.0
punjab,2018,3,16204628.0,0.0
kerala,2018,3,14823578.0,0.0
chhattisgarh,2018,3,13395712.0,0.0
uttarakhand,2018,3,8916732.0,0.0
assam,2018,3,8632822.0,0.0
himachal-pradesh,2018,3,4483974.0,0.0
jammu-&-kashmir,2018,3,3767819.0,0.0
goa,2018,3,1691822.0,0.0
chandigarh,2018,3,1582823.0,0.0
tripura,2018,3,1285614.0,0.0
dadra-&-nagar-haveli-&-daman-&-diu,2018,3,1013177.0,0.0
puducherry,2018,3,897006.0,0.0
manipur,2018,3,681285.0,0.0
arunachal-pradesh,2018,3,505142.0,0.0
sikkim,2018,3,414007.0,0.0
meghalaya,2018,3,410091.0,0.0
nagaland,2018,3,352990.0,0.0
ladakh,2018,3,195239.0,0.0
mizoram,2018,3,159522.0,0.0
andaman-&-nicobar-islands,2018,3,133639.0,0.0
lakshadweep,2018,3,10098.0,0.0
maharashtra,2018,4,147197622.0,0.0
uttar-pradesh,2018,4,113761604.0,0.0
karnataka,2018,4,91473822.0,0.0
andhra-pradesh,2018,4,75431499.0,0.0
telangana,2018,4,71826469.0,0.0
rajasthan,2018,4,69946118.0,0.0
west-bengal,2018,4,69072058.0,0.0
gujarat,2018,4,61369440.0,0.0
madhya-pradesh,2018,4,59019862.0,0.0
tamil-nadu,2018,4,57198658.0,0.0
bihar,2018,4,52543315.0,0.0
delhi,2018,4,50933443.0,0.0
haryana,2018,4,41723869.0,0.0
odisha,2018,4,39863021.0,0.0
jharkhand,2018,4,21053439.0,0.0
punjab,2018,4,20522865.0,0.0
