state,year,quarter,insurance_transactions,total_insurance_amount
maharashtra,2020,2,39836.0,6879717.0
karnataka,2020,2,27358.0,4794150.0
andhra pradesh,2020,2,22104.0,3982391.0
telangana,2020,2,19003.0,3419453.0
uttar pradesh,2020,2,9884.0,1912266.0
delhi,2020,2,11716.0,1897480.0
west bengal,2020,2,7619.0,1432764.0
gujarat,2020,2,7697.0,1430591.0
madhya pradesh,2020,2,6283.0,1198701.0
haryana,2020,2,6321.0,1179814.0
maharashtra,2020,3,71662.0,19230156.0
andhra pradesh,2020,3,49812.0,12426481.0
karnataka,2020,3,53701.0,12407394.0
telangana,2020,3,34395.0,8406543.0
uttar pradesh,2020,3,18131.0,4436969.0
rajasthan,2020,3,15235.0,3758527.0
madhya pradesh,2020,3,14476.0,3496126.0
gujarat,2020,3,12525.0,3335812.0
west bengal,2020,3,12596.0,2878482.0
odisha,2020,3,10955.0,2640191.0
maharashtra,2020,4,44798.0,27113814.0
karnataka,2020,4,31747.0,26814968.0
uttar pradesh,2020,4,17470.0,14180417.0
andhra pradesh,2020,4,21464.0,12985632.0
telangana,2020,4,20961.0,11339099.0
tamil nadu,2020,4,10290.0,8993575.0
west bengal,2020,4,10233.0,7510455.0
rajasthan,2020,4,12509.0,6471573.0
gujarat,2020,4,9990.0,6055037.0
madhya pradesh,2020,4,10653.0,4897124.0
maharashtra,2021,1,55792.0,33137753.0
karnataka,2021,1,37595.0,30183325.0
uttar pradesh,2021,1,24103.0,18027573.0
telangana,2021,1,28298.0,14810947.0
andhra pradesh,2021,1,22105.0,12749874.0
tamil nadu,2021,1,14406.0,11180849.0
west bengal,2021,1,15488.0,11172042.0
delhi,2021,1,12822.0,9655261.0
rajasthan,2021,1,17800.0,8074225.0
madhya pradesh,2021,1,14427.0,5567927.0
maharashtra,2021,2,70381.0,46763103.0
karnataka,2021,2,40969.0,39501006.0
uttar pradesh,2021,2,25952.0,25137571.0
andhra pradesh,2021,2,33205.0,22730687.0
telangana,2021,2,28870.0,20935651.0
tamil nadu,2021,2,17682.0,16444344.0
rajasthan,2021,2,18281.0,14357445.0
west bengal,2021,2,15200.0,12396029.0
gujarat,2021,2,14676.0,10263998.0
madhya pradesh,2021,2,14803.0,9787391.0
karnataka,2021,3,47468.0,48078366.0
maharashtra,2021,3,52268.0,41313307.0
uttar pradesh,2021,3,32799.0,32641118.0
tamil nadu,2021,3,23107.0,23402918.0
west bengal,2021,3,24839.0,21424337.0
telangana,2021,3,27080.0,20925217.0
andhra pradesh,2021,3,23075.0,19914338.0
bihar,2021,3,18030.0,18234941.0
delhi,2021,3,16679.0,15007079.0
rajasthan,2021,3,16643.0,12793862.0
maharashtra,2021,4,82423.0,93262227.0
karnataka,2021,4,74436.0,90723288.0
uttar pradesh,2021,4,44132.0,59654951.0
tamil nadu,2021,4,33037.0,42184290.0
telangana,2021,4,34848.0,38845492.0
delhi,2021,4,34251.0,36578331.0
andhra pradesh,2021,4,25423.0,31610335.0
west bengal,2021,4,26320.0,31282871.0
bihar,2021,4,22456.0,27313813.0
haryana,2021,4,19489.0,25885838.0
karnataka,2022,1,95640.0,130733580.0
maharashtra,2022,1,88015.0,117411928.0
uttar pradesh,2022,1,45996.0,73014969.0
tamil nadu,2022,1,47621.0,64969045.0
kerala,2022,1,37110.0,64172190.0
telangana,2022,1,36325.0,51942016.0
west bengal,2022,1,38779.0,51160527.0
andhra pradesh,2022,1,29954.0,42648157.0
delhi,2022,1,28232.0,35442069.0
haryana,2022,1,22783.0,32526943.0
karnataka,2022,2,93385.0,123228632.0
maharashtra,2022,2,80935.0,104603934.0
uttar pradesh,2022,2,55133.0,77434953.0
tamil nadu,2022,2,46714.0,61835120.0
kerala,2022,2,35667.0,59920203.0
telangana,2022,2,45600.0,58056956.0
west bengal,2022,2,33542.0,41737021.0
andhra pradesh,2022,2,32185.0,41708072.0
gujarat,2022,2,25381.0,32090965.0
delhi,2022,2,26378.0,31787281.0
karnataka,2022,3,110273.0,144605784.0
maharashtra,2022,3,90958.0,113835208.0
uttar pradesh,2022,3,64514.0,87703512.0
kerala,2022,3,54587.0,85390924.0
tamil nadu,2022,3,64356.0,79747520.0
telangana,2022,3,51465.0,64798126.0
west bengal,2022,3,47853.0,59092307.0
andhra pradesh,2022,3,39301.0,48791931.0
haryana,2022,3,35346.0,45402800.0
delhi,2022,3,35944.0,41570160.0
karnataka,2022,4,133971.0,185063287.0
maharashtra,2022,4,125900.0,174915648.0
tamil nadu,2022,4,125491.0,146457790.0
uttar pradesh,2022,4,77022.0,116755813.0
kerala,2022,4,65563.0,103982997.0
telangana,2022,4,64655.0,88544127.0
west bengal,2022,4,54277.0,70466433.0
rajasthan,2022,4,40926.0,60792838.0
delhi,2022,4,48908.0,60603173.0
andhra pradesh,2022,4,44329.0,58043239.0
karnataka,2023,1,127376.0,186543426.0
maharashtra,2023,1,112174.0,166596248.0
uttar pradesh,2023,1,73080.0,127110494.0
tamil nadu,2023,1,90690.0,116710222.0
kerala,2023,1,62377.0,101786828.0
telangana,2023,1,54508.0,82678207.0
west bengal,2023,1,56833.0,77461732.0
haryana,2023,1,37287.0,61127194.0
delhi,2023,1,45821.0,61040038.0
andhra pradesh,2023,1,34920.0,51963355.0
karnataka,2023,2,117232.0,175704013.0
maharashtra,2023,2,102754.0,157303399.0
uttar pradesh,2023,2,74194.0,122522457.0
tamil nadu,2023,2,79698.0,105328191.0
kerala,2023,2,61032.0,100620604.0
telangana,2023,2,55118.0,79238968.0
west bengal,2023,2,49792.0,65204280.0
haryana,2023,2,40710.0,62186066.0
rajasthan,2023,2,37170.0,61301449.0
delhi,2023,2,41358.0,54951108.0
