scope,entity,year,quarter,registered_users
state,maharashtra,2018,1,6106994
state,uttar pradesh,2018,1,4694250
state,karnataka,2018,1,3717763
state,andhra pradesh,2018,1,3336450
state,telangana,2018,1,3315560
state,rajasthan,2018,1,3158202
state,gujarat,2018,1,2690048
state,west bengal,2018,1,2604789
state,madhya pradesh,2018,1,2553603
state,bihar,2018,1,2133804
district,bengaluru urban,2018,1,1922368
district,pune,2018,1,1211643
district,jaipur,2018,1,900773
district,mumbai suburban,2018,1,719300
district,hyderabad,2018,1,655175
district,rangareddy,2018,1,635175
district,thane,2018,1,631864
district,ahmadabad,2018,1,572811
district,medchal malkajgiri,2018,1,549429
district,visakhapatnam,2018,1,497187
pincode,201301,2018,1,114625
pincode,500072,2018,1,105012
pincode,560068,2018,1,98487
pincode,110059,2018,1,95496
pincode,110092,2018,1,83600
pincode,122001,2018,1,82656
pincode,560037,2018,1,75304
pincode,395006,2018,1,72275
pincode,800001,2018,1,71092
pincode,302012,2018,1,68098
state,maharashtra,2018,2,8222371
state,uttar pradesh,2018,2,6442554
state,karnataka,2018,2,5030665
state,andhra pradesh,2018,2,4402540
state,telangana,2018,2,4260115
state,rajasthan,2018,2,4212964
state,west bengal,2018,2,3833795
state,gujarat,2018,2,3565825
state,madhya pradesh,2018,2,3441662
state,bihar,2018,2,3005872
district,bengaluru urban,2018,2,2553312
district,pune,2018,2,1592293
district,jaipur,2018,2,1182983
district,mumbai suburban,2018,2,957633
district,thane,2018,2,861292
district,hyderabad,2018,2,842483
district,rangareddy,2018,2,804959
district,ahmadabad,2018,2,751746
district,medchal malkajgiri,2018,2,696211
district,surat,2018,2,652372
pincode,201301,2018,2,151073
pincode,500072,2018,2,129543
pincode,560068,2018,2,128921
pincode,110059,2018,2,124901
pincode,110092,2018,2,108175
pincode,122001,2018,2,107275
pincode,800001,2018,2,94711
pincode,395006,2018,2,94500
pincode,560037,2018,2,93771
pincode,302012,2018,2,89071
state,maharashtra,2018,3,10435033
state,uttar pradesh,2018,3,8096483
state,karnataka,2018,3,6372649
state,andhra pradesh,2018,3,5427617
state,rajasthan,2018,3,5175453
state,telangana,2018,3,5138501
state,west bengal,2018,3,4851740
state,gujarat,2018,3,4433183
state,madhya pradesh,2018,3,4309309
state,tamil nadu,2018,3,3900177
district,bengaluru urban,2018,3,3167597
district,pune,2018,3,1974138
